shap_id,shape_pts_sequencia,shap_pt_lon,shap_pt_lat
shap_L3,1,-43.16842171939719,-22.912371099365224
shap_L3,2,-43.168447214148856,-22.912372505027992
shap_L3,3,-43.168467626552356,-22.912373598321313
shap_L3,4,-43.168476084347745,-22.912374006505978
shap_L3,5,-43.16848257569457,-22.912374289066165
shap_L3,6,-43.16848804930176,-22.91237450209483
shap_L3,7,-43.16849287334683,-22.91237466789877
shap_L3,8,-43.168497234854655,-22.912374796762208
shap_L3,9,-43.1685012458137,-22.912374897200962
shap_L3,10,-43.168504980261446,-22.912374972777947
shap_L3,11,-43.16850848784475,-22.91237502858096
shap_L3,12,-43.16851180560051,-22.912375065037093
shap_L3,13,-43.168514961757424,-22.912375085181036
shap_L3,14,-43.16851797675896,-22.91237509105459
shap_L3,15,-43.168520869123654,-22.91237508287136
shap_L3,16,-43.168523651521994,-22.912375060777467
shap_L3,17,-43.168526336576,-22.91237502853059
shap_L3,18,-43.168528933069716,-22.912374985329
shap_L3,19,-43.16853144977505,-22.912374931273884
shap_L3,20,-43.168533892527805,-22.912374867335572
shap_L3,21,-43.16853626911311,-22.912374794506867
shap_L3,22,-43.16853858245493,-22.912374712821503
shap_L3,23,-43.16854083838907,-22.912374623249818
shap_L3,24,-43.168543040826286,-22.912374524933867
shap_L3,25,-43.16854519365307,-22.912374418821518
shap_L3,26,-43.168547298806615,-22.91237430583815
shap_L3,27,-43.16854936019766,-22.912374185125806
shap_L3,28,-43.168551379763414,-22.912374057609888
shap_L3,29,-43.16855336042782,-22.91237392332411
shap_L3,30,-43.168554337151235,-22.912373853315174
shap_L3,31,-43.168602352859544,-22.91236757199719
shap_L3,32,-43.1686491563471,-22.912355816960318
shap_L3,33,-43.16869402182898,-22.912338772181638
shap_L3,34,-43.16873625660296,-22.91231669877812
shap_L3,35,-43.16877520682486,-22.912289940491338
shap_L3,36,-43.16881027037365,-22.912258909387113
shap_L3,37,-43.16884090561124,-22.91222408685942
shap_L3,38,-43.168841474085326,-22.912223349316598
shap_L3,39,-43.16884262308117,-22.912221848181943
shap_L3,40,-43.16884378522062,-22.91222031198059
shap_L3,41,-43.16884496246516,-22.912218739832166
shap_L3,42,-43.1688461558258,-22.912217129039224
shap_L3,43,-43.16884736727612,-22.912215477818457
shap_L3,44,-43.16884859687679,-22.9122137816554
shap_L3,45,-43.168849846589254,-22.91221203966967
shap_L3,46,-43.168851118423454,-22.91221024736923
shap_L3,47,-43.16885241437724,-22.91220840116504
shap_L3,48,-43.16885373644845,-22.912206497467974
shap_L3,49,-43.168855087645944,-22.91220452999155
shap_L3,50,-43.16885646999185,-22.912202493340853
shap_L3,51,-43.16885788844435,-22.912200381251857
shap_L3,52,-43.16885934701125,-22.912198185643494
shap_L3,53,-43.168860850699225,-22.912195896640135
shap_L3,54,-43.16886240452719,-22.912193503463293
shap_L3,55,-43.16886401748533,-22.912190989962053
shap_L3,56,-43.1688656995265,-22.912188340899654
shap_L3,57,-43.16886746268619,-22.912185531129975
shap_L3,58,-43.16886932393383,-22.91218253104866
shap_L3,59,-43.168871305282075,-22.912179298467073
shap_L3,60,-43.16887344165656,-22.91217577328482
shap_L3,61,-43.168875783027474,-22.912171863968865
shap_L3,62,-43.168878417287345,-22.91216741350221
shap_L3,63,-43.16888151226646,-22.912162119498458
shap_L3,64,-43.16888550930428,-22.912155202312263
shap_L3,65,-43.16889505447053,-22.91213845277874
shap_L3,66,-43.168867359563585,-22.91212196016672
shap_L3,67,-43.16886549929146,-22.9121249602593
shap_L3,68,-43.16886373613263,-22.91212777002902
shap_L3,69,-43.16886205408015,-22.912130419994355
shap_L3,70,-43.16886044113486,-22.912132932592762
shap_L3,71,-43.168858886333005,-22.9121353257584
shap_L3,72,-43.16885738362038,-22.912137614773034
shap_L3,73,-43.16885592504205,-22.912139811284323
shap_L3,74,-43.16885450660236,-22.912141922470468
shap_L3,75,-43.16885312328247,-22.912143959109958
shap_L3,76,-43.16885177306025,-22.91214592659766
shap_L3,77,-43.16885045097753,-22.912147831197647
shap_L3,78,-43.16884915502436,-22.91214967740187
shap_L3,79,-43.168847883190764,-22.91215146970233
shap_L3,80,-43.1688466334789,-22.912153211688118
shap_L3,81,-43.16884540389094,-22.912154906948317
shap_L3,82,-43.16884419242905,-22.912156559072002
