shap_id,shape_pts_sequencia,shap_pt_lon,shap_pt_lat
shap_L4,1,-43.193513292449545,-22.90297560614296
shap_L4,2,-43.19351857062782,-22.902978850284438
shap_L4,3,-43.19350259187662,-22.903016861784412
shap_L4,4,-43.1934935577761,-22.90301179413569
shap_L4,5,-43.19348592119956,-22.903007556018153
shap_L4,6,-43.19347917334546,-22.903003851770034
shap_L4,7,-43.19347305598043,-22.903000528550194
shap_L4,8,-43.193467415290876,-22.902997497917664
shap_L4,9,-43.19346215069561,-22.90299470003105
shap_L4,10,-43.19345719256147,-22.902992093461727
shap_L4,11,-43.19345249059187,-22.902989648740448
shap_L4,12,-43.19344800706438,-22.9029873437653
shap_L4,13,-43.193443711042896,-22.902985159220652
shap_L4,14,-43.1934395812536,-22.90298308222201
shap_L4,15,-43.193435596410744,-22.9029811007878
shap_L4,16,-43.19343174200292,-22.902979206625655
shap_L4,17,-43.19342800450529,-22.902977390551364
shap_L4,18,-43.19342749504629,-22.90297714454902
shap_L4,19,-43.193442860048755,-22.902939696799546
shap_L4,20,-43.19347887634338,-22.902956303303217
shap_L4,21,-43.19351433033349,-22.90302351793011
shap_L4,22,-43.1935425753631,-22.90303972721045
shap_L4,23,-43.19357292340986,-22.903057151510254
shap_L4,24,-43.19358552951425,-22.903064314189432
shap_L4,25,-43.193595227104275,-22.903069774073067
shap_L4,26,-43.19360342267871,-22.90307434544268
shap_L4,27,-43.193610661798886,-22.903078345147993
shap_L4,28,-43.19361722108407,-22.903081936172665
shap_L4,29,-43.19362326884727,-22.903085216152956
shap_L4,30,-43.19362891050682,-22.903088247694374
shap_L4,31,-43.19363422150761,-22.903091075000752
shap_L4,32,-43.19363925699531,-22.903093729402556
shap_L4,33,-43.193644057568335,-22.903096236646565
shap_L4,34,-43.19364865514933,-22.903098615156626
shap_L4,35,-43.193653073923954,-22.90310087875334
shap_L4,36,-43.193657237364995,-22.903102991347986
shap_L4,37,-43.19367495295088,-22.903072863257965
shap_L4,38,-43.19367932996024,-22.903075262738195
shap_L4,39,-43.19368353987042,-22.903077546535208
shap_L4,40,-43.19368760200606,-22.90307972751129
shap_L4,41,-43.19369153085459,-22.903081815764665
shap_L4,42,-43.19369402925034,-22.903083131908218
shap_L4,43,-43.193670382731426,-22.903070332445935
shap_L4,44,-43.19366559127761,-22.903067651922598
shap_L4,45,-43.193660538941735,-22.903064797758088
shap_L4,46,-43.19365517451238,-22.903061735957536
shap_L4,47,-43.19364942741773,-22.903058422372574
shap_L4,48,-43.19364319517518,-22.90305479352803
shap_L4,49,-43.19363632117896,-22.90305075101781
shap_L4,50,-43.19362854052892,-22.90304613018542
shap_L4,51,-43.19361933792434,-22.903040610913262
shap_L4,52,-43.19360738012912,-22.90303336711058
shap_L4,53,-43.19357860893803,-22.903015744018056
shap_L4,54,-43.19373114741826,-22.903137238815535
shap_L4,55,-43.1937554233599,-22.9031127543597
shap_L4,56,-43.1938189316168,-22.903138264899024
shap_L4,57,-43.193821610072526,-22.903139233611114
shap_L4,58,-43.19382583509864,-22.903140744573548
shap_L4,59,-43.19383022240538,-22.90314229350253
shap_L4,60,-43.19383478949975,-22.90314388330624
shap_L4,61,-43.193839559676604,-22.903145521473835
shap_L4,62,-43.19384455916652,-22.903147214624795
shap_L4,63,-43.19384982486098,-22.903148974015025
shap_L4,64,-43.193855400485646,-22.903150810075086
shap_L4,65,-43.19386134622682,-22.903152741550038
shap_L4,66,-43.19386774466278,-22.90315478924554
shap_L4,67,-43.19387471329016,-22.903156987006916
shap_L4,68,-43.19388243272765,-22.903159386554787
shap_L4,69,-43.19389120791281,-22.903162073532606
shap_L4,70,-43.193901632176434,-22.903165217233145
shap_L4,71,-43.19391523688499,-22.90316925678613
shap_L4,72,-43.19389449983897,-22.9031939955219
shap_L4,73,-43.19388077559921,-22.9031899284199
shap_L4,74,-43.193870258962164,-22.903186767412986
shap_L4,75,-43.19386140497647,-22.90318406870155
shap_L4,76,-43.193853614487594,-22.903181661120488
shap_L4,77,-43.19384658158332,-22.903179459015206
shap_L4,78,-43.19384012275701,-22.90317740792306
shap_L4,79,-43.193834119489544,-22.90317547759932
shap_L4,80,-43.193828488299815,-22.903173641809794
shap_L4,81,-43.193823170890894,-22.903171886346048
shap_L4,82,-43.193818120661156,-22.903170197132702
shap_L4,83,-43.19381330263246,-22.903168565644705
shap_L4,84,-43.19380868768626,-22.90316698252062
shap_L4,85,-43.19380748257379,-22.90316656515976
shap_L4,86,-43.19392768087308,-22.90320367226991
shap_L4,87,-43.19394813529767,-22.903178855364168
shap_L4,88,-43.19443903540075,-22.90335208777648
shap_L4,89,-43.19450948719672,-22.903372583818413
shap_L4,90,-43.194512204544914,-22.90334257052916
shap_L4,91,-43.19453864872947,-22.90338113472326
shap_L4,92,-43.19456100985666,-22.90338773813897
shap_L4,93,-43.19457984979536,-22.90339333979529
shap_L4,94,-43.19459643769286,-22.903398306302957
shap_L4,95,-43.19461142319334,-22.90340282384774
shap_L4,96,-43.19462519570305,-22.90340700341436
shap_L4,97,-43.19463800671241,-22.903410918298356
shap_L4,98,-43.19465003005418,-22.903414617433604
shap_L4,99,-43.194661395871236,-22.903418136614814
shap_L4,100,-43.19467219736711,-22.90342150399255
shap_L4,101,-43.19468251224724,-22.90342474031688
shap_L4,102,-43.19469239876084,-22.90342786340761
shap_L4,103,-43.19470190450817,-22.903430885545312
